id,label,group,year
812a763e-0c86-4b40-9d5a-bf92de46131f,658054,3,2020
f8133251-fe9b-447e-815a-ab172c893101,625197,N/A,1988
4e138f33-1561-497a-bff5-099744e3c24c,664660,U,2022
2b6bc970-5695-456c-84a5-77955299b43e,661156,L,2021
edcedd7a-aaa6-4f7d-8595-8226c66fea29,662590,L,2021
ad246abc-f2dc-4251-9f84-8ac5b6ad425d,630885,1,2020
dc8951ab-3663-48d1-bcde-e06723cc64a4,672362,1,2024
9df55321-9170-40a0-a105-cc9d633c1ceb,665210,3,2022
43c0d456-c18a-4d97-81ab-0ccbfe7feb88,644539,L,2017
051711b8-0425-476b-8ad0-4b009294cd5f,662115,L,2021
b4cb3861-8048-4925-90a4-d808c9c9077d,650076,62,2018
beae26b2-d0e7-48e8-952a-30fbe2be911a,645239,2,2017
34092da4-ba83-48d4-8c96-184d8601f56f,649025,63,2018
7a10b81c-df21-45b8-a6df-5c42bb034f13,667021,3,2023
08d767c9-45bd-4058-bb08-c2b384cbf11a,666074,63,2022
c7ef0c43-2ccf-4238-85c3-600e6d72f99e,670500,3,2009
297f6361-488e-4572-bbbe-eb085b716ac1,667905,1,2023
b299a2d2-dd23-4ff6-94df-9a90068ce9ea,673297,L,2024
1298f980-8e1f-4d57-b95b-465cb9b5b5bb,662698,U,2021
35f96817-97e7-4ed3-811e-4fd9baa310c6,617395,6,2011
c70179b0-ea22-4125-97e4-90135a65db42,669199,2,2023
067bb32c-c71a-4b62-9de5-66d5066018a7,636469,63,2015
7b1d5e3e-6be4-433f-942d-0b472fbcb869,650139,L,2018
b8b26c85-f01d-4c7e-9db7-c31a5156038d,648535,62,2018
0fad1cfb-275d-4fe7-a262-dc261c3859b2,648722,63,2018
01c7618a-c275-43b6-8b4f-76fbb02d91ed,276974,N/A,
884aab48-bb41-4614-a292-195bab538e82,668318,2,2023
407bde4d-d391-4327-b477-75587f68346a,660916,U,2021
2fffdfd7-b935-4a58-8fcf-f40d17b67849,645323,U,2017
feb2f97a-ae9c-4c6f-9890-3999e0a16c24,667924,1,2023
31b1c1d3-7b7d-4c97-ad29-99c5c258bc57,636206,1,2015
c33d8783-5e21-4960-a3c5-e14bd4a60dcd,670349,3,2024
1a7c1c02-d0ff-4b9f-961b-50a31cd66a98,655113,U,2019
550d62b5-a769-4bed-9d37-0a69d0a1c459,666544,U,2022
a7ca9cc9-69f9-44b0-a93c-a3626b528bfe,647544,L,2018
54573949-0e73-4e93-8e1c-56c81c22dfdb,668336,3,2023
7210c7fe-0811-400a-9618-6d8a17fd9b99,643411,3,2017
4b53dbf7-98e0-4a4a-842c-33466fbea8e3,667655,3,2023
ba4b7a08-c440-4aaf-84f2-fed4d053cf04,664310,1,2022
e2e1871a-9378-4483-8027-f0a1299c8a6d,653510,62,2019
a780feb9-68f4-49da-8370-e99bc471c666,a780feb9-68f4-49da-8370-e99bc471c666,N/A,
23ed4b0a-728e-4a83-b3f7-1db53a14750a,665754,1,2022
cc133ec1-70d3-419f-b64d-89586e01fd92,227681,N/A,2018
2d82e50f-95e0-44d2-8ee1-a7fe90239516,2d82e50f-95e0-44d2-8ee1-a7fe90239516,N/A,
463f20b4-9a99-4091-90ea-b0459e6f8a8b,663784,U,2022
4ddca2a7-76d0-444a-bcf1-81e5d47d8ee1,654146,L,2019
ff4e925c-0444-4384-b023-54eb7ce4829e,631746,N/A,
97a24855-d500-443a-804f-b73848c6e8c8,655390,L,2019
b1e4a1da-e34b-4064-8b04-a9217fcf92b7,649452,2,2018
e9e4da33-a5e9-42e7-8aaa-c93a03a8bfaf,653404,2,2019
