
============================================================
  FETCH CC FROM BROCARDI.IT
  2026-02-04T02:39:27.084581
  Rate limit: 3.0 req/sec
============================================================

Available codici: CC, CP, CPC, CPP, COST, CDS, CCONS, CDPR

Fetching CC...
(This will take a while due to rate limiting)

2026-02-04 02:39:27 [info     ] Crawling hierarchy             base_url=https://www.brocardi.it/codice-civile/
2026-02-04 02:39:51 [info     ] Found articles                 count=3191
  [294/3191] 2.35 art/sec | ETA: 1231s | Art. 278
  [295/3191] 2.35 art/sec | ETA: 1230s | Art. 279
  [296/3191] 2.36 art/sec | ETA: 1229s | Art. 280
  [297/3191] 2.36 art/sec | ETA: 1227s | Art. 281
  [298/3191] 2.36 art/sec | ETA: 1226s | Art. 282
  [299/3191] 2.36 art/sec | ETA: 1225s | Art. 283
  [300/3191] 2.36 art/sec | ETA: 1224s | Art. 284
  [301/3191] 2.36 art/sec | ETA: 1222s | Art. 285
  [302/3191] 2.37 art/sec | ETA: 1221s | Art. 286
  [303/3191] 2.37 art/sec | ETA: 1220s | Art. 287
  [304/3191] 2.37 art/sec | ETA: 1219s | Art. 288
  [305/3191] 2.37 art/sec | ETA: 1218s | Art. 289
  [306/3191] 2.37 art/sec | ETA: 1217s | Art. 290
  [307/3191] 2.37 art/sec | ETA: 1215s | Art. 291
  [308/3191] 2.37 art/sec | ETA: 1214s | Art. 292
  [309/3191] 2.38 art/sec | ETA: 1213s | Art. 293
  [310/3191] 2.38 art/sec | ETA: 1212s | Art. 294
  [311/3191] 2.38 art/sec | ETA: 1211s | Art. 295
  [312/3191] 2.38 art/sec | ETA: 1210s | Art. 296
  [313/3191] 2.38 art/sec | ETA: 1209s | Art. 297
  [314/3191] 2.38 art/sec | ETA: 1207s | Art. 298
  [315/3191] 2.38 art/sec | ETA: 1206s | Art. 299
  [316/3191] 2.39 art/sec | ETA: 1205s | Art. 300
  [317/3191] 2.39 art/sec | ETA: 1204s | Art. 301
  [318/3191] 2.39 art/sec | ETA: 1203s | Art. 302
  [319/3191] 2.39 art/sec | ETA: 1201s | Art. 303
  [320/3191] 2.39 art/sec | ETA: 1201s | Art. 304
  [321/3191] 2.39 art/sec | ETA: 1199s | Art. 305
  [322/3191] 2.39 art/sec | ETA: 1198s | Art. 306
  [323/3191] 2.40 art/sec | ETA: 1197s | Art. 307
  [324/3191] 2.40 art/sec | ETA: 1196s | Art. 308
  [325/3191] 2.40 art/sec | ETA: 1196s | Art. 309
  [326/3191] 2.40 art/sec | ETA: 1194s | Art. 310
  [327/3191] 2.40 art/sec | ETA: 1193s | Art. 311
  [328/3191] 2.40 art/sec | ETA: 1192s | Art. 312
  [329/3191] 2.40 art/sec | ETA: 1191s | Art. 313
  [330/3191] 2.40 art/sec | ETA: 1190s | Art. 314
  [331/3191] 2.40 art/sec | ETA: 1189s | Art. 315
  [332/3191] 2.41 art/sec | ETA: 1188s | Art. 315bis
  [333/3191] 2.41 art/sec | ETA: 1187s | Art. 316
  [334/3191] 2.41 art/sec | ETA: 1186s | Art. 316bis
  [335/3191] 2.41 art/sec | ETA: 1184s | Art. 317
  [336/3191] 2.41 art/sec | ETA: 1183s | Art. 317bis
  [337/3191] 2.41 art/sec | ETA: 1182s | Art. 318
  [338/3191] 2.42 art/sec | ETA: 1181s | Art. 319
  [339/3191] 2.41 art/sec | ETA: 1181s | Art. 320
  [340/3191] 2.42 art/sec | ETA: 1179s | Art. 321
  [341/3191] 2.42 art/sec | ETA: 1178s | Art. 322
  [342/3191] 2.42 art/sec | ETA: 1177s | Art. 323
  [343/3191] 2.42 art/sec | ETA: 1176s | Art. 324
  [344/3191] 2.42 art/sec | ETA: 1176s | Art. 325
  [345/3191] 2.42 art/sec | ETA: 1174s | Art. 326
  [346/3191] 2.42 art/sec | ETA: 1173s | Art. 327
  [347/3191] 2.43 art/sec | ETA: 1172s | Art. 328
  [348/3191] 2.43 art/sec | ETA: 1171s | Art. 329
